ADOPTION_DATE,AREA_AR,AREA_EN,CNT_BUILDING,CNT_LAND,CNT_TOTAL,CNT_UNIT,CNT_VILLA,COMPLETION_DATE,DEFAULT_SORT,DESCRIPTION_AR,DESCRIPTION_EN,DEVELOPER_AR,DEVELOPER_EN,DEVELOPER_NUMBER,END_DATE,ESCROW_ACCOUNT_NUMBER,INSPECTION_DATE,MASTER_PROJECT_AR,MASTER_PROJECT_EN,PERCENT_COMPLETED,PRJ_TYPE_AR,PRJ_TYPE_EN,PROJECT_AR,PROJECT_EN,PROJECT_NUMBER,PROJECT_STATUS,PROJECT_VALUE,RN,START_DATE,TOTAL,ZONE_AR,ZONE_EN
2025-11-17T18:11:08,وادي الصفا 5,Wadi Al Safa 5,0,0,94,94,0,,DEFAULT,سرداب + أرضي + 11 طابق سكني + سطح,Basement + Ground + 11 Residential Floors + Roof,بيرلشاير ديرس للتطوير العقاري ذ.م.م,PEARLSHIRE DIRC REAL ESTATE DEVELOPMENT L.L.C,1905,2028-09-30T00:00:00,1.36E+13,2025-09-04T16:18:05,,,0,عادي,Normal,بوند ليفينغ,Bond Living,4073,ACTIVE,37600000,11,2026-03-01T00:00:00,76,سلطة دبي للتطوير,Dubai Development Authority (DDA)
,جبل علي الصناعية الثانية,Jabal Ali Industrial Second,0,0,336,336,0,,DEFAULT,N/A,PROPOSED G+3P+6+R RESIDENTIAL/ COMMERCIAL BUILDING,عزيزي ديفليوبمنتس ش.ذ.م.م,AZIZI DEVELOPMENTS L.L.C,1002,2028-03-04T00:00:00,11177627018,2026-03-18T18:28:27,,,2,عادي,Normal,عزيزي ويرز,Azizi Wares,4076,PENDING,87053200,12,2026-03-04T00:00:00,76,,
2025-09-29T14:45:02,مدينة دبي الملاحية,Madinat Dubai Almelaheyah,0,0,517,517,0,,DEFAULT,مقترح عدد 2 مبنى تجاري/ سكني مؤلف من 2 سرداب + أرضي + 3 بوديوم +31/44 طابق.,"Proposed 2B+G+3P+31/44 Story Mixed Use "" Commercial & Residential"" 2 Towers", بيوند 1 للتطوير العقاري ذ.م.م , BEYOND 1 REAL ESTATE DEVELOPMENT L.L.C ,2324,2028-12-30T00:00:00,2.06E+11,2025-09-11T16:41:08,,,0,عادي,Normal,سوليفر من بيوند,Soulever' By Beyond,4084,ACTIVE,645000000,13,2026-03-30T00:00:00,76,تراخيص,Trakhees
2025-10-10T13:43:33,مدينة المطار,Madinat Al Mataar,0,0,365,365,0,,DEFAULT,قبو+أرضي+2بوديوم+28 طابق,B+G+2P+28,بي تي للعقارات دي دبليو سي - ش.ذ.م.م,BT PROPERTIES DWC LLC,2254,2029-03-14T00:00:00,12648006274,2025-09-22T16:32:16,,,0,عادي,Normal,وَعْد - الطور 2,Waada - Altura 2,4085,ACTIVE,150129399,14,2026-03-15T00:00:00,76,دبي للجنوب,Dubai South
2025-10-01T13:48:38,وادي الصفا 2,Wadi Al Safa 2,0,0,1429,1429,0,,DEFAULT,Residential Building (B+G+9 floor + Retail in Ground Floor ),Residential Building (B+G+9 floor + Retail in Ground Floor ),أتش أر أي للتطوير العقاري ش.ذ.م.م,HRE REAL ESTATE DEVELOPMENT L.L.C,1669,2029-06-30T00:00:00,12157179023,2025-09-19T16:32:17,,,0,عادي,Normal,ساكورا جاردنز ,Sakura Gardens ,4111,ACTIVE,850000000,15,2026-03-01T00:00:00,76,سلطة دبي للتطوير,Dubai Development Authority (DDA)
2025-09-26T09:45:55,مدينة دبي الملاحية,Madinat Dubai Almelaheyah,0,0,172,172,0,,DEFAULT,"Residential Development
Consisting of one Building: Total 169 units
Tower: (G+P+13): Total of 169 units
Retails : 3 Units on Ground Floor","Residential Development
Consisting of one Building: Total 169 units
Tower: (G+P+13): Total of 169 units
Retails : 3 Units on Ground Floor",ميناء راشد العقارية ش.ذ.م.م,MINA RASHID PROPERTIES L.L.C,1275,2030-06-30T00:00:00,1.28E+13,2025-09-19T11:15:17,,,0,عادي,Normal,اوريا,Aurea,4115,ACTIVE,164321560,16,2026-03-31T00:00:00,76,تراخيص,Trakhees
2025-11-28T10:46:12,جميرا الاولى,Jumeirah First,0,0,176,176,0,,DEFAULT,"مبنيان سكنيان يتألفان من ?? وحدة سكنية (?? غرف نوم، ?? غرفة نوم، ?? غرفة نوم، ? غرف نوم، ? حمامات، طابق أرضي).

سولايا ?: طابق أرضي + طابق سفلي + ? غرف نوم (?? وحدة سكنية).

سولايا ?: طابق أرضي + طابق سفلي + ? غرف نوم (?? وحدة سكنية).","2 Residential Buildings comprising of 44 Residential units (2BHK=10, 3BHK=17, 4BHK=12, 5BHK=3, PH=2)
Solaya 4: B+G+R+6 (18# -Resi. Units).
Solaya 6: B+G+R+7 (26# -Resi. Units).
",شركة لامير سنترال للعقارات ذ.م.م,LA MER CENTRAL PROPERTY CO. L.L.C,1941,2029-09-30T00:00:00,1010083457,2025-11-11T10:42:08,,,0,عادي,Normal,"سولايا (4,6)","Solaya (4,6)",4122,ACTIVE,398291189,17,2026-03-31T00:00:00,76,سلطة دبي للتطوير,Dubai Development Authority (DDA)
2025-11-28T10:52:37,جميرا الاولى,Jumeirah First,0,0,55,55,0,,DEFAULT,"مبنيان سكنيان يتألفان من ?? وحدة سكنية (? غرف نوم، ?? غرفة نوم، ?? غرفة نوم، ? غرف نوم، ? غرف نوم، ? غرف نوم، طابق أرضي، طابقين).

سولايا ?: طابق أرضي + طابق سفلي + ? غرف (?? وحدة سكنية).

سولايا ?: طابق أرضي + طابق سفلي + ? غرف (?? وحدة سكنية).","2 Residential Buildings comprising of 55 Residential units (2BHK=8, 3BHK=19, 4BHK=22, 5BHK=4, PH=2)
Solaya 5: B+G+R+7 (26# -Resi. Units).
Solaya 7: B+G+R+8 (29# -Resi. Units).
",شركة لامير سنترال للعقارات ذ.م.م,LA MER CENTRAL PROPERTY CO. L.L.C,1941,2029-09-30T00:00:00,1010083432,2025-11-04T10:40:30,,,0,عادي,Normal,"سولايا (5,7)","Solaya (5,7)",4123,ACTIVE,524319595,18,2026-03-31T00:00:00,76,سلطة دبي للتطوير,Dubai Development Authority (DDA)
2025-12-25T10:26:42,الخليج التجارى,Business Bay,0,0,684,684,0,,DEFAULT,مقترح تطوير سكني يتكون من 5 سرداب + ارضي+ 11 بوديوم + 98 طابق + سطح ,Proposed Residential Development consisting of 5 Basement + Ground + 11 Podiums + 98 Floors + Roof ,شوبا ش.ذ.م.م,SOBHA L.L.C,966,2032-12-31T00:00:00,29411206,2025-10-22T14:53:33,,,0,عادي,Normal,شوبا سكاي باركس,Sobha SkyParks,4137,ACTIVE,1340851759,19,2026-04-01T00:00:00,76,بلدية دبي,Dubai Municipality
2025-12-29T10:59:50,الجداف,Al Jadaf,0,0,131,131,0,,DEFAULT,مبني سكني مكون من ارضي + 2 بوديوم + 13 طابق+ سطح,G+2P+13+R Residencial Building,جاد جلوبال لتطوير العقارات ذ.م.م,JAD GLOBAL REAL ESTATE DEVELOPMENT L.L.C,1901,2028-04-30T00:00:00,1.58E+12,2025-11-07T12:01:11,,,0,عادي,Normal,ج188,J188,4145,ACTIVE,60000000,20,2026-04-01T00:00:00,76,سلطة دبي للتطوير,Dubai Development Authority (DDA)
,ورسان الرابعة,Warsan Fourth,0,0,372,372,0,,DEFAULT,Residential Building ( 2B+G+3P+15+R) with Retails@ GF,Residential Building ( 2B+G+3P+15+R) with Retails@ GF,جي اف اس للتطوير العقاري ش.ذ.م.م,G F S REAL ESTATE DEVELOPMENT L.L.C,2224,2028-12-01T00:00:00,19543516,2025-11-11T12:11:12,,,0,عادي,Normal,كوفينتري 2,Coventry 2,4178,PENDING,102000000,21,2026-03-01T00:00:00,76,,
2025-11-04T12:31:29,مجمع دبي للاستثمار الثاني,Dubai Investment Park Second,0,0,547,0,547,,DEFAULT,"Residential development consisting of 37 villas (G+2) and 510 townhouse units (G+1)
","Residential development consisting of 37 villas (G+2) and 510 townhouse units (G+1)
",إعمار للتطوير (مساهمة عامة),EMAAR DEVELOPMENT P.J.S.C.,1211,2029-08-31T00:00:00,3.54E+12,2025-10-28T11:40:23,,,0,عادي,Normal,جراند بولو - اكويتيرا ,Grand Polo - Equiterra ,4185,ACTIVE,629557055,22,2026-03-09T00:00:00,76,بلدية دبي,Dubai Municipality
2025-11-27T09:27:11,نخلة ديرة,Palm Deira,0,0,82,82,0,,DEFAULT,"مبنى ليا سكني يتكون من 81 وحدة سكنية (36 وحدات سكنية من غرفة نوم واحدة ، 37 وحدة سكنية من غرفتين نوم، 6 وحدات سكنية من ثلاث غرف ،1 بينت هاوسسمبلكس من ثلاث غرف نوم، 1 بينت هاوس سمبلكس من غرفتين نوم بالإضافة الى وحدة تجارية واحدة","Residential Residential LIA comprising of 81 
Residential units (1BHK=36, 2BHK=37, 3BHK=6, 
Penthouse Simplex 3BHK=1,Penthouse Simplex 2BHK=1) and 1 retail unit. 
Duplex 3BHK=4 and Penthouse Duplex 4BHK=1)",أفنيو للتطويرالعقاري ذ.م.م ,AVENEW REAL ESTATE DEVELOPMENT L.L.C,1511,2028-05-20T00:00:00,1.58E+12,2025-10-31T12:34:12,,,0,عادي,Normal,ليا,LIA,4195,ACTIVE,70000000,23,2026-03-20T00:00:00,76,تراخيص,Trakhees
2025-11-13T10:36:37,الخيران الأولى,Al Khairan First,0,0,766,766,0,,DEFAULT,"Proposed Multi-storey Residential Development
(B+G+3P+23 Floor+ Roof)
Having 219 residential units.
","Proposed Multi-storey Residential Development
(B+G+3P+23 Floor+ Roof)
Having 219 residential units.
",دبي كريك هاربور ش.ذ.م.م,DUBAI CREEK HARBOUR L.L.C,1224,2030-04-30T00:00:00,2.06E+11,2025-11-03T16:40:16,,,0,عادي,Normal,كريك باي,Creek Bay,4198,ACTIVE,1062079000,24,2026-03-31T00:00:00,76,سلطة دبي للتطوير,Dubai Development Authority (DDA)
2025-11-18T09:19:35,بوكدرة,Bukadra,0,0,190,190,0,,DEFAULT, مبنى سكني سرداب +أرضي +3 بوديوم+20طابق,Residential Building B+G+3P+20 floors ,بوكدرة للتطوير ش.ذ.م.م,BUKADRA DEVELOPMENT L.L.C,2349,2029-08-31T00:00:00,1.44E+13,2025-11-07T14:12:07,,,0,عادي,Normal,ار هوم ام اتش ,R Home MH,4214,ACTIVE,145048874,25,2026-03-31T00:00:00,76,بلدية دبي,Dubai Municipality
2025-11-18T18:48:51,اليفره 1,Al Yufrah 1,0,0,139,0,139,,DEFAULT,"Residential development consisting of 139 villas (G+2)
","Residential development consisting of 139 villas (G+2)
",إعمار للتطوير (مساهمة عامة),EMAAR DEVELOPMENT P.J.S.C.,1211,2029-12-31T00:00:00,9.01E+15,2025-11-10T10:33:48,,,0,عادي,Normal,ذا فالي - افيليا,The Valley - Avelia,4220,ACTIVE,394816194,26,2026-03-16T00:00:00,76,سلطة دبي للتطوير,Dubai Development Authority (DDA)
2025-11-20T00:13:56,الخيران الأولى,Al Khairan First,0,0,594,594,0,,DEFAULT,"The project is a multi-story residential building consisting of
Basement, ground floor with an attached nursery, 3 podium levels 
Tower(A) - 30 floors
Roof level
With Total Residential Units 274
","The project is a multi-story residential building consisting of
Basement, ground floor with an attached nursery, 3 podium levels 
Tower(A) - 30 floors
Roof level
With Total Residential Units 274
",دبي كريك هاربور ش.ذ.م.م,DUBAI CREEK HARBOUR L.L.C,1224,2030-03-31T00:00:00,1.28E+13,2025-11-11T17:04:35,,,0,عادي,Normal,كريك هيفين,Creek Haven,4225,ACTIVE,776338870,27,2026-03-21T00:00:00,76,سلطة دبي للتطوير,Dubai Development Authority (DDA)
,جبل علي الصناعية الثانية,Jabal Ali Industrial Second,0,0,269,269,0,,DEFAULT,"3B + G + 3P + 8 + R
COMMERCIAL / RESIDENTIAL","3B + G + 3P + 8 + R
COMMERCIAL / RESIDENTIAL",عزيزي ديفليوبمنتس ش.ذ.م.م,AZIZI DEVELOPMENTS L.L.C,1002,2028-03-04T00:00:00,,2025-11-12T12:19:27,,,0,عادي,Normal,عزيزي نورة,Azizi Noura,4230,PENDING,79662000,28,2026-03-04T00:00:00,76,,
,جبل علي الصناعية الثانية,Jabal Ali Industrial Second,0,0,234,234,0,,DEFAULT,4B + G + 3P + 8 + R COMMERCIAL / RESIDENTIAL,"4B + G + 3P + 8 + R
COMMERCIAL / RESIDENTIAL",عزيزي ديفليوبمنتس ش.ذ.م.م,AZIZI DEVELOPMENTS L.L.C,1002,2028-03-04T00:00:00,,2025-11-12T14:41:38,,,0,عادي,Normal,عزيزي غابرييل,Azizi Gabriel,4232,PENDING,74542000,29,2026-03-04T00:00:00,76,,
,الجداف,Al Jadaf,0,0,272,272,0,,DEFAULT,N/A,"3B+G+4P+15+LR+UR+MR , RESIDENTIAL BUILDING",عزيزي ديفليوبمنتس ش.ذ.م.م,AZIZI DEVELOPMENTS L.L.C,1002,2028-09-30T00:00:00,11180331014,2026-03-17T17:12:05,,,2,عادي,Normal,عزيزي ليلي,Azizi Leily,4233,PENDING,68932000,30,2026-03-04T00:00:00,76,,
2025-11-25T17:24:21,اليلايس 5,Al Yelayiss 5,0,0,383,0,383,,DEFAULT,"Residential development consisting of 383 villas (G+2)
","Residential development consisting of 383 villas (G+2)
",إعمار للتطوير (مساهمة عامة),EMAAR DEVELOPMENT P.J.S.C.,1211,2030-03-31T00:00:00,1.07E+13,2025-11-14T16:51:09,,,0,عادي,Normal,سِّرو ذا هايتس,Serro The Heights,4237,ACTIVE,914304924,31,2026-03-19T00:00:00,76,بلدية دبي,Dubai Municipality
,وادي الصفا 5,Wadi Al Safa 5,0,0,176,176,0,,DEFAULT,"المشروع عبارة عن مبنى سكني متكامل يقع في منطقة وادي الصفا في إمارة دبي، ويهدف إلى توفير وحدات سكنية عصرية بمواصفات عالية تلبي احتياجات الأسر والأفراد. يتميز المشروع بموقع استراتيجي قريب من شبكة الطرق الرئيسية ومناطق الخدمات، مما يجعل الوصول إلى مختلف مناطق دبي سهلاً وسريعاً","The project is a fully integrated residential building located in the Wadi Al Safa area of Dubai. It aims to provide modern, high-quality residential units that meet the needs of families and individuals. The project benefits from a strategic location with easy access to major roads and nearby services, ensuring convenient connectivity to key destinations across the city.",ار 3 ار لوكس للتطوير العقاري ش.ذ.م.م,R3R LUXE REAL ESTATE DEVELOPMENT L.L.C,2402,2028-11-06T00:00:00,2.06E+11,2025-11-18T16:08:15,وادي هيلز,Wadi Hills,0,عادي,Normal,كلوفر,CLOVER,4242,PENDING,61000000,32,2026-03-31T00:00:00,76,,
,جبل علي الأولى,Jabal Ali First,0,0,416,416,0,,DEFAULT,B+G+2P+12+R,B+G+2P+12+R,بانثيون اليسي للتطوير العقاري ذ.م.م,PANTHEON ELYSEE REAL ESTATE DEVELOPMENT L.L.C,1364,2028-06-30T00:00:00,,2025-12-10T12:04:30,VOXA RESIDENCES,VOXA RESIDENCES,0,عادي,Normal,أوميا ريزيدنسز,Omya Residences,4248,PENDING,100500000,33,2026-03-01T00:00:00,76,,
2026-01-08T15:08:16,نخلة ديرة,Palm Deira,0,0,64,64,0,,DEFAULT,Residential Building (G+2P+8+R),Residential Building (G+2P+8+R),امبيرتون ريزيدنسز للعقارات ش.ذ.م.م,AMBERTON RESIDENCES REAL ESTATE L.L.C,2289,2027-12-27T00:00:00,12018986831,2025-12-18T17:55:30,,,0,عادي,Normal,فيلا ديل ارتي,Villa dell Arte,4251,ACTIVE,51000000,34,2026-03-25T00:00:00,76,تراخيص,Trakhees
,الخليج التجارى,Business Bay,0,1,1,0,0,,DEFAULT,طابق أرضي + 3 طوابق مواقف + 17 طابق متكرر + السطح,G+3P+17+R,اي ار تي اتش اربن تو للتطوير ش.ذ.م.م,IRTH URBAN TWO DEVELOPMENT L.L.C,2434,2028-08-31T00:00:00,,2025-11-25T14:18:47,,,20.62,عادي,Normal,هاوس أوف تينيت,Haus of Tenet,4253,PENDING,250000000,35,2026-03-01T00:00:00,76,,
2026-02-03T14:42:46,مجمع دبي للاستثمار الاول,Dubai Investment Park First,0,0,135,0,135,,DEFAULT,"08 Blocks / 135 unit ?G+1,G+2+G+3 Villas?

+ 1 Gym & Swimming Pool","08 Blocks / 135 unit ?G+1,G+2+G+3 Villas?

+ 1 Gym & Swimming Pool",ريبورتاج بلس ايه للتطوير العقاري ش.ذ.م.م,REPORTAGE PLUS A REAL ESTATE DEVELOPMENT L.L.C,1936,2029-03-31T00:00:00,1010118931,2025-11-27T15:55:45,,,0,عادي,Normal,فيردانا 10,Verdana 10,4257,ACTIVE,73658515,36,2026-03-31T00:00:00,76,,
2026-02-05T15:21:58,مجمع دبي للاستثمار الاول,Dubai Investment Park First,0,0,191,191,0,,DEFAULT,Residential Building 1B+2P+G+15+R,Residential Building 1B+2P+G+15+R,ريبورتاج بلس ايه للتطوير العقاري ش.ذ.م.م,REPORTAGE PLUS A REAL ESTATE DEVELOPMENT L.L.C,1936,2029-03-31T00:00:00,1010118915,2025-11-27T15:56:56,,,0,عادي,Normal,فيردانا ريسدينس 10,Verdana Residence 10,4268,ACTIVE,72147631,37,2026-03-31T00:00:00,76,,
2025-12-08T10:42:18,معيصم الثانية,Me'Aisem Second,0,0,311,0,311,,DEFAULT,"Residential development consisting of 311 villas (B+G+2)
","Residential development consisting of 311 villas (B+G+2)
",إعمار للتطوير (مساهمة عامة),EMAAR DEVELOPMENT P.J.S.C.,1211,2030-02-28T00:00:00,1.07E+13,2025-11-28T17:12:32,,,0,عادي,Normal,ماريفا ذا أويسيس,Mareva The Oasis,4269,ACTIVE,1018977074,38,2026-03-22T00:00:00,76,تراخيص,Trakhees
2025-12-08T10:46:09,معيصم الثانية,Me'Aisem Second,0,1,347,0,346,,DEFAULT,"Residential development consisting of 347 villas (B+G+2)
","Residential development consisting of 347 villas (B+G+2)
",إعمار للتطوير (مساهمة عامة),EMAAR DEVELOPMENT P.J.S.C.,1211,2030-02-28T00:00:00,3.54E+12,2025-11-28T17:23:38,,,0,عادي,Normal,ماريفا 2 ذا أويسيس,Mareva 2 The Oasis,4270,ACTIVE,1094034876,39,2026-03-22T00:00:00,76,تراخيص,Trakhees
2025-12-25T12:07:38,نخلة ديرة,Palm Deira,0,0,56,56,0,,DEFAULT,أرضي + 2 باركنج + 8+ رووف,G+2P+8+R,جيدكو للتطويرالعقاري ش.ذ.م.م,JAIEDCO REAL ESTATE DEVELOPMENT L.L.C,1935,2028-01-01T00:00:00,8.03E+13,2025-12-05T10:51:39,,,0,عادي,Normal,ليورا,LIORA,4276,ACTIVE,40000000,40,2026-04-01T00:00:00,76,تراخيص,Trakhees
,مدينة المطار,Madinat Al Mataar,0,0,52,52,0,,DEFAULT,Proposed G+4+R Residential Building ,Proposed G+4+R Residential Building,كالجاري افنيو ساوث للتطوير العقاري ذ.م.م,CALGARY AVENUE SOUTH REAL ESTATE DEVELOPMENT L.L.C,2450,2028-04-30T00:00:00,,2026-01-16T17:40:37,,,0,عادي,Normal,سكيون,SKYON,4282,PENDING,26224800,41,2026-04-01T00:00:00,76,,
2026-02-26T15:03:43,معيصم الأول,Me'Aisem First,0,0,310,310,0,,DEFAULT,"مبنى سكني مكون من طابقين مواقف تحت الأرض + أرضي+ طابقين مواقف/خدمات+16 طابق سكنيا""بالإضافة إلى سطح(روف )",Project Description: 2B+G+2P+16+R Residential,ميراكي للتطوير العقاري  ش.ذ.م.م   ,MERAKI REAL ESTATE DEVELOPMENT L.L.C  ,1230,2028-12-31T00:00:00,1.58E+12,2025-12-23T22:33:24,,,0,عادي,Normal,I-نيرفانا ريسيدنسس,Nirvana Residences - I,4313,ACTIVE,150000000,42,2026-03-01T00:00:00,76,سلطة دبي للتطوير,Dubai Development Authority (DDA)
2026-02-04T11:37:35,السطوه,Al Satwa,0,0,90,90,0,,DEFAULT,"ارضي+ 2مواقف + 8 طوابق
88 وحدة سكنية 
2 وحدة تجاري","G+2P+8
88 Residential units
2 Retails",ربدان جاردنز للتطوير العقاري ش.ذ.م.م,RABDAN GARDENS REAL ESTATE DEVELOPMENTS L.L.C,2568,2028-03-01T00:00:00,1.58E+12,2025-12-25T11:54:47,,,0,عادي,Normal,ربدان جاردنز,Rabdan Gardens,4314,ACTIVE,58000000,43,2026-03-01T00:00:00,76,,
2026-03-16T21:43:50,جبل علي الأولى,Jabal Ali First,0,0,2169,2169,0,,DEFAULT,"مقترح تطوير تجاري، مكاتب وسكني، مؤلف من برجين بارتفاع
برج 5: 4 سرداب + أرضي + 99 طابق  + سطح
برج 6: 4 سرداب + أرضي + 64 طابق + سطح","Proposed Residential, Offices and Commercial Development consist of 2 Towers with shopping centre, 
Building 5: 4 Basement + Ground + 99 Floors + Roof  
Building 6: 4 Basement + Ground + 65 floors  + Roof ",شوبا ش.ذ.م.م,SOBHA L.L.C,966,2031-12-31T00:00:00,1.64E+12,2026-01-13T12:26:28,,,0,عادي,Normal,شوبا سنترال,Sobha Central ,4328,ACTIVE,2315467680,44,2026-03-31T00:00:00,76,بلدية دبي,Dubai Municipality
,البرشاء جنوب الرابعة,Al Barsha South Fourth,0,0,212,212,0,,DEFAULT,B + G + 1P + 5F + R,B + G + 1P + 5F + R,إيمان للتطوير ذ.م.م,IMAN DEVELOPERS L.L.C,1178,2028-10-30T00:00:00,,2026-02-04T17:11:02,,,0,عادي,Normal,أوكسفورد كوف,OXFORD COVE,4330,PENDING,71500001,45,2026-03-01T00:00:00,76,,
